GUID,AnalysisError,Interferences,Ixx,iyy,Izz,MassEstimate,Battery_amps_to_max_amps_ratio_at_MFD,Battery_amps_to_max_amps_ratio_at_MxSpd,Distance_at_MxSpd__m_,Max_Flight_Distance__m_,Max_Hover_Time__s,Max_Lateral_Speed__m_s_,Max_uc_at_MFD,Motor_amps_to_max_amps_ratio_at_MFD,Motor_amps_to_max_amps_ratio_at_MxSpd,Motor_power_to_max_power_ratio_at_MFD,Motor_power_to_max_power_ratio_at_MxSpd,Power_at_MFD__W_,Power_at_MxSpd__W_,Speed_at_MFD__m_s_,ArmLength,BatteryOffset_X,BatteryOffset_z,SupportLength
accd60bd-41c2-41fe-be8d-4430060270e1,FALSE,0,7229.807403,7229.809615,13828.42223,0.436301637,0.200023562,0.200023562,1343.84167,1343.84167,208.924011,7,0.758092821,0.118771568,0.118771568,8.24E-02,8.24E-02,84.3739471,84.3739471,7,212.2949969,-0.286597862,-0.276484726,127.7526905
5ddcf356-3781-44f7-ac54-319c8e9a2372,FALSE,0,12893.39788,12893.40475,25096.87479,0.452811559,0.182402417,0.182402417,1052.61768,1052.61768,203.784836,5,0.707932472,0.108318508,0.108318508,7.51E-02,7.51E-02,71.8993454,71.8993454,5,278.7905596,-0.266325852,-0.937372343,133.9488296
c5cf0d2c-0e14-47dd-851b-32276a84364f,FALSE,0,25311.99229,25312.00863,49842.47582,0.478204792,0.182562172,0.182562172,841.357178,841.357178,196.354187,4,0.712758064,0.108422577,0.108422577,7.52E-02,7.52E-02,72.4424667,72.4424667,4,381.735962,1.973170991,0.243163715,142.8075519
bd62cf9d-bf7a-48f0-b75b-07d45d4eff19,FALSE,0,20047.44799,20047.46823,39518.28672,0.464938775,0.188695699,0.188695699,1221.01355,1221.01355,200.167496,6,0.724877715,0.112053126,0.112053126,7.77E-02,7.77E-02,76.1415329,76.1415329,6,345.2562039,-1.077059493,-0.590386919,120.8782289
9e11f277-afbf-4644-b951-b342b9a5254f,FALSE,0,15341.45127,15341.45845,29987.05832,0.458350701,0.189115539,0.189115539,1218.30286,1218.30286,202.116577,6,0.72609669,0.112302519,0.112302519,7.79E-02,7.79E-02,76.4377975,76.4377975,6,302.6161976,-0.938569469,-0.242048597,134.5115387
385489a3-56a3-4798-88aa-34c5515b3b8a,FALSE,0,23053.17608,23053.17714,45377.51879,0.473500997,0.182136476,0.182136476,843.323669,843.323669,197.689621,4,0.71154505,0.108148806,0.108148806,7.50E-02,7.50E-02,72.162735,72.162735,4,366.0960975,-0.127659357,-0.386350068,137.7370311
7b93fbb9-ec66-4f4c-b7c4-a6243d981742,FALSE,0,21423.1095,21423.12557,42112.36754,0.470785123,0.182076335,0.182076335,843.602234,843.602234,198.468948,4,0.71162504,0.108130008,0.108130008,7.50E-02,7.50E-02,72.1382065,72.1382065,4,353.6140357,1.514353636,0.30973054,138.261341
64fff60f-33df-4340-9dcf-a736959b8a65,FALSE,0,8461.84701,8461.899743,16130.33777,0.443284547,0.182822332,0.182822332,1050.19995,1050.19995,206.719208,5,0.710113525,0.108593844,0.108593844,7.53E-02,7.53E-02,72.2708511,72.2708511,5,226.626114,-1.913826613,-0.850501083,144.1667
cf83cb40-30ce-46c8-945e-8c5d5fe16f1c,FALSE,0,15788.7269,15788.74058,30927.66265,0.458326289,0.188901946,0.188901946,1219.68042,1219.68042,202.123871,6,0.725477219,0.112175725,0.112175725,7.78E-02,7.78E-02,76.2870331,76.2870331,6,307.4498689,0.40640997,0.910497555,129.5703801
5b2c324a-7358-488a-b834-3950e9371d0f,FALSE,0,6946.012658,6946.008165,13246.02577,0.435708023,0.239057377,0.239057377,1445.67798,1445.67798,209.113602,9,0.867865741,0.141981453,0.141981453,9.85E-02,9.85E-02,115.267654,115.267654,9,208.0186618,1.138440156,-0.114469986,129.4153949
