,0,1,2,3,valid
0,2,3,1,3,0
1,7,3,1,1,1
2,1,5,4,3,0
3,3,6,0,3,0
4,1,3,3,1,1
5,4,6,0,1,0
6,7,3,0,3,0
7,2,3,1,4,0
8,7,3,2,3,0
9,4,0,4,1,1
10,6,1,0,3,0
11,1,1,4,0,1
12,5,3,1,3,0
13,2,3,0,2,0
14,5,3,0,3,0
15,1,2,1,3,0
16,3,4,1,3,0
17,7,3,1,3,0
18,1,0,0,3,0
19,3,3,3,3,1
20,7,3,3,1,1
21,6,3,0,3,0
22,4,3,3,4,0
23,0,6,2,1,0
24,3,3,1,0,1
25,1,2,0,1,1
26,7,6,1,1,0
27,1,0,4,1,1
28,5,0,3,3,0
29,1,1,4,1,1
30,1,6,4,1,0
31,1,3,4,2,0
32,7,0,1,3,0
33,3,1,3,3,1
34,1,3,4,3,1
35,7,0,0,3,0
36,3,2,0,3,0
37,5,6,1,3,0
38,1,3,3,3,0
39,3,1,1,1,1
40,1,6,3,1,0
41,1,6,4,2,0
42,2,6,4,2,0
43,2,4,3,3,0
44,6,3,4,2,0
45,7,3,4,2,1
46,3,3,4,0,1
47,0,5,4,3,0
48,5,6,2,3,0
49,1,4,3,1,1
50,0,3,2,1,1
51,1,3,2,1,1
52,7,3,0,1,1
53,6,5,4,2,1
54,4,4,2,1,1
55,2,6,1,3,0
56,3,6,1,3,0
57,3,3,1,4,0
58,4,2,3,4,0
59,7,6,1,3,0
60,7,3,0,2,0
61,2,3,2,1,1
62,1,5,4,1,1
63,1,3,0,1,1
64,5,3,3,3,0
65,5,2,0,3,0
66,5,3,4,2,1
67,3,0,2,3,1
68,7,3,4,1,1
69,6,3,1,3,0
70,1,0,3,1,1
71,5,3,0,2,1
72,4,0,4,3,0
73,1,2,4,2,1
74,3,5,1,4,1
75,3,3,0,3,0
76,7,3,1,2,1
77,6,3,3,1,1
78,6,3,4,1,1
79,2,3,1,1,1
80,6,3,0,1,1
81,2,3,4,2,1
82,3,3,1,1,1
83,7,5,1,1,1
84,4,3,4,0,1
85,7,3,3,3,0
86,3,5,2,3,0
87,2,3,0,1,1
88,2,5,2,3,0
89,4,3,4,2,0
90,3,5,3,3,0
91,1,5,3,1,1
92,1,1,3,1,1
93,1,2,3,1,1
94,1,0,2,1,1
95,7,5,3,3,0
96,0,0,3,1,1
97,1,0,0,1,1
98,7,5,2,3,0
99,4,5,1,4,1
100,5,5,3,3,0
101,1,6,0,1,0
102,1,4,2,3,0
103,7,1,3,3,0
104,6,3,0,2,1
105,7,6,0,3,0
106,6,5,2,3,0
107,7,1,1,1,1
108,7,4,1,1,1
109,4,6,0,4,1
110,6,3,2,1,1
111,2,5,0,3,0
112,0,1,2,1,1
113,1,4,1,1,1
114,7,3,2,1,1
115,4,6,3,1,0
116,6,6,4,3,0
117,1,2,3,3,0
118,1,3,1,1,1
119,7,0,1,1,1
120,4,5,4,2,1
121,4,4,3,1,1
122,0,2,1,1,0
123,4,5,4,1,1
124,5,3,4,0,1
125,5,6,0,3,0
126,0,5,2,1,1
127,1,2,0,3,0
128,1,5,2,3,0
129,4,4,4,1,1
130,0,3,1,1,0
131,0,1,1,1,0
132,6,3,3,3,0
133,6,4,4,3,0
134,1,6,1,3,0
135,3,6,1,1,0
136,4,4,0,4,0
137,2,3,4,4,0
138,1,3,4,0,1
139,7,5,0,3,0
140,1,1,1,1,1
141,4,2,3,1,1
142,3,3,1,3,0
143,3,2,1,2,0
144,0,3,1,3,0
145,0,1,0,3,0
146,7,6,0,1,0
147,1,5,1,3,0
148,4,4,0,1,1
149,4,1,3,1,1
150,2,5,1,3,0
151,1,3,1,3,0
152,1,2,1,1,1
153,1,5,1,1,1
154,0,4,3,1,1
155,2,4,4,0,1
156,7,3,4,3,0
157,6,3,1,1,1
158,2,3,3,4,1
159,4,5,3,1,1
160,7,4,0,3,0
161,3,2,0,2,0
162,0,6,3,1,0
163,3,2,1,3,0
164,3,5,1,1,1
165,7,2,4,3,0
166,1,6,1,1,0
167,3,1,1,4,1
